id,http_code_old,IPA,http_code_latest
r_sicili:fd68376e-6368-401e-8a39-47a5bc1987c7,204,r_sicili,503
r_sicili:7a8e9d48-e335-4bb4-92e0-2bb2f7779c30,204,r_sicili,503
r_sicili:c4eedd1b-c571-472f-bfda-3f7eb3ae3b2c,204,r_sicili,503
r_sicili:10d04c4a-0d3b-435a-b77c-aaf7dd0ff4f3,204,r_sicili,503
r_sicili:14ed4d54-3091-48c9-b6d0-8020d26eb6c9,200,r_sicili,503
r_sicili:385b54a3-9784-408e-830f-acb08f0aa527,204,r_sicili,503
r_sicili:6da025d3-0bf3-42c0-8989-d09b04a5d2e0,200,r_sicili,503
r_sicili:34f12048-61e5-47cc-995d-ef3bd61fd34f,204,r_sicili,503
r_sicili:c504dc97-11ab-403b-acb2-7dbcea23b11f,204,r_sicili,503
r_sicili:dba43e80-e7c2-4001-8e98-6d1d6a217240,204,r_sicili,503
r_sicili:caf05ab2-8f19-4367-b9db-54892e54847d,200,r_sicili,502
r_sicili:85c63b72-e51b-4acb-a36f-96bf529f21df,200,r_sicili,502
r_sicili:f65a64d6-da1a-4357-be23-ad1076393b75,200,r_sicili,502
