identifier,http_code,type,properties_type,subject,othersubject,references,abstract,downloadableData,IPA
c_a028:6bede6d8-4d84-4034-ab26-06ae2e0dae24,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"PRG,pianificazione,urbanistica,strumento urbanistico,zone omogenee,zonizzazione",http://sitr.comune.acireale.ct.it/ows/acireale/acireale_prg?service=wms&version=1.3.0,Piano Regolatore Generale - Comune di Acireale - GAUSS BOAGA,0,c_a028
c_a028:911619ad-4813-4f51-afe8-eea780ac04c3,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"catasto,particelle,mappale,foglio,fabbricati,terreni",http://sitr.comune.acireale.ct.it/ows/acireale/acireale_catasto?service=wms&version=1.3.0,Catasto Fabbricati e Terreni - Comune di Acireale - GAUSS BOAGA,0,c_a028
c_a028:925f69dd-6a8f-49d1-be25-66db1b04f9cc,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"carta tecnica,10000",http://sitr.comune.acireale.ct.it/ows/acireale/acireale_base?service=wms&version=1.3.0,Carta Tecnica scala 1:10.000 - Comune di Acireale - GAUSS BOAGA,0,c_a028
c_a028:b7f85eaf-727e-48bb-a368-eccb44bbaa99,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"vincoli,microzonazione,paesaggistici,fisiografici",http://sitr.comune.acireale.ct.it/ows/acireale/acireale_vincoli?&service=wms&version=1.3.0,Carta dei vincoli - Comune di Acireale - GAUSS BOAGA,0,c_a028
c_a056:20d40a6a-d2df-4dea-a996-6fcc96de2813,000,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"PRG,pianificazione,urbanistica,strumenti urbanistici,zone omogenee,vincoli,agricole",http://151.8.208.34/fcgi-bin/mapserv.exe?map=/ms4w/data/map/adrano_prg.map&service=wms&version=1.3.0,Piano Regolatore Generale - Comune di Adrano - GAUSS BOAGA,0,c_a056
c_a056:3520c9f7-db19-4d06-b967-8e6c9744da06,000,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,"PRG,pianificazione,urbanistica,strumenti urbanistici,zone omogenee,vincoli,agricole",http://151.8.208.34/fcgi-bin/mapserv.exe?map=/ms4w/data/map/adrano_vincoli.map&service=wms&version=1.3.0,Carta dei Vincoli - Comune di Adrano - GAUSS BOAGA,0,c_a056
c_a089:87b38490-efda-4fd5-950d-4a0010d6160d,404,Feature,"3:liveData,OGC:WMS-1.3.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open",infoMapAccessService,"Particelle catastali,fogli catastali,catasto",http://www.comune.agrigento.sitr.it/ArcGIS/services/Agrigento/Catasto/MapServer/WMSServer?,"La cartografia catastale costituita dagli strati cartografici scaricati dall'Agenzia del Territorio in formato .CXF e convertiti in Shape, rappresenta la componente geometrica del catasto terreni. I layer contenuti sono: fogli, particelle, fabbricati, campiture, strade, acque, punti fiduciali, simboli, testi e testi particelle.",0,c_a089
p_ag:025724b9-2980-4816-a461-36cd891aa475,404,Feature,"4:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities,OGC:WFS-1.1.0-http-get-capabilities",infoMapAccessService,"Delimitazioni amministrative,Confini,Limiti amministrativi",http://www.provincia.agrigento.sitr.it/ArcGIS/services/ComuniSicilia/MapServer/WMSServer,Delimitazioni amministrative dei Comuni della regione Sicilia. Tema elaborato a partire dal tema poligonale dei territori comunali ISTAT - scala nominale 1:25000.,0,p_ag
p_ag:03095fc3-8940-4840-a4ad-6c660504b6e8,404,Feature,"3:liveData,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"cartografia di base,mappe base",http://www.provincia.agrigento.sitr.it/ArcGIS/services/IGM50K/MapServer/WMSServer,"Cartografia IGMI 1:50000 del territorio della Provincia di Agrigento, prodotta dai dati cartografici dell'Istituto Geografico Militare Italiano (autorizzazione n. 4831 del 18/6/1998)",0,p_ag
p_ag:0f08d33b-0408-47d9-b06e-41f4b37189d6,404,Feature,"4:liveData,OGC:WFS-1.1.0-http-get-capabilities,ESRI:MAP-1.0-rest-get-open,OGC:WMS-1.3.0-http-get-capabilities",infoMapAccessService,"grafo,viabilità,strade,trasporti",http://www.provincia.agrigento.sitr.it/ArcGIS/services/Viabilita/MapServer/WMSServer,"grafo delle strade rotabili esistenti nel territorio della Provincia di Agrigento, differenziati in base all'ente gestore ed alla eventuale classificazione amministrativa di massima definita dalla Provincia per le strade di propria competenza (esempio strade provinciali, strade provinciali ex consortili ed ex regionali, relitti, etc.).
Informazioni sugli attributi:
Field FID
*Data type OID
*Width 4
*Field description
Internal feature number.
*Description of values Sequential unique whole numbers that are automatically generated.

Field Shape
*Data type Geometry
*Field description
Feature geometry.
*Description of values Coordinates defining the features.

Field NOME
*Data type String
*Width 100
Field description
denominazione sintetica o sigla che identifica il tronco stradale

Field CAT
*Data type SmallInteger
*Width 4
*Precision 4
Field description
Categoria: identifica la tipologia di strada in base all'ente gestore/proprietario, unitamente alla classificazione amministrativa eventualmente definita dall'Ente (per le strade provinciali)

Field fittizio
*Data type SmallInteger
*Width 4
*Precision 4
Field description
codice che serve per definire se il tronco stradale cui si riferisce l'asse è reale (0 = reale, va disegnato a tutte le scale; 2 = reale, di dettaglio, da disegnare solo a grande scala ma non a piccola scala, ad esempio raddoppio di carreggiata, rampe e corsie di svincoli , etc.), fittizio (1, serve solo per le stampe a piccola scala)

Field DENOM_EXT
*Data type String
*Width 100
Field description
Denominazione estesa della strada (esempio: ""Strada panoramica dei Templi"")

Field NOTE_
*Data type String
*Width 254
Field description
commenti e annotazioni, che si riferiscono al singolo elemento

Field provenienz
*Data type String
*Width 10
Field description
stringa sintetica che serve ad identificare l'ultima fonte di aggiornamento: usato per le revisioni.

Field OldName
*Data type String
*Width 30
Field description
denominazione precedente del tratto stradale. Serve per mantenere traccia delle denominazioni antecedenti all'ultima revisione.

Field nomeAlter
*Data type String
*Width 50
Field description
Denominazione alternativa del tronco stradale (ad esempio per i tratti di strada provinciale o statale interni o in prossimità dei centri abitati per i quali l'ufficio toponomastica comunale abbia assegnato un nome di via)

Field Shape_Leng
*Data type Double
*Width 19

Field CAT_DESC
*Data type String
*Width 254

Field competenza
*Data type String
*Width 150",0,p_ag
